2021-11-26 09:27:55,886 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2021-11-26 09:29:48,011 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: INIT:INIT_FIRSTPROJECT:1.0.0 @ C:\Work\Java\eGovFrameDev-3.7.0-64bit\eGovFrameDev-3.7.0-64bit\workspace\INIT_FIRSTPROJECT\META-INF\maven\INIT\INIT_FIRSTPROJECT\pom.xml.
2021-11-26 09:29:54,574 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 09:29:54,593 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Work\Java\eGovFrameDev-3.7.0-64bit\eGovFrameDev-3.7.0-64bit\workspace\INIT_FIRSTPROJECT\META-INF\maven\INIT\INIT_FIRSTPROJECT\src\main\resources
2021-11-26 09:29:54,603 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 09:29:54,634 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Work\Java\eGovFrameDev-3.7.0-64bit\eGovFrameDev-3.7.0-64bit\workspace\INIT_FIRSTPROJECT\META-INF\maven\INIT\INIT_FIRSTPROJECT\src\test\resources
2021-11-26 09:30:12,338 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: test:test:1.0.0 @ C:\Work\Java\eGovFrameDev-3.7.0-64bit\eGovFrameDev-3.7.0-64bit\workspace\test\pom.xml.
2021-11-26 09:30:14,051 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 09:30:14,096 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2021-11-26 09:30:14,462 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 09:30:14,464 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-26 09:30:32,694 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 09:30:32,732 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2021-11-26 09:30:32,911 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 09:30:32,914 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-26 09:38:22,447 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 09:38:22,457 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-26 09:38:22,459 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 09:38:22,461 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-26 09:49:31,183 [Worker-35] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: INIT:INIT_FIRSTPROJECT:1.0.0 @ C:\Work\Java\eGovFrameDev-3.7.0-64bit\eGovFrameDev-3.7.0-64bit\workspace\INIT_FIRSTPROJECT\META-INF\maven\INIT\INIT_FIRSTPROJECT\pom.xml.
2021-11-26 09:49:38,329 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 09:49:38,720 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Work\Java\eGovFrameDev-3.7.0-64bit\eGovFrameDev-3.7.0-64bit\workspace\INIT_FIRSTPROJECT\META-INF\maven\INIT\INIT_FIRSTPROJECT\src\main\resources
2021-11-26 09:49:38,795 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 09:49:38,952 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Work\Java\eGovFrameDev-3.7.0-64bit\eGovFrameDev-3.7.0-64bit\workspace\INIT_FIRSTPROJECT\META-INF\maven\INIT\INIT_FIRSTPROJECT\src\test\resources
2021-11-26 10:01:54,738 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-26 10:01:54,743 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Work\Java\eGovFrameDev-3.7.0-64bit\eGovFrameDev-3.7.0-64bit\workspace\INIT_FIRSTPROJECT\META-INF\maven\INIT\INIT_FIRSTPROJECT\src\main\resources
